"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"BQ2027_RRL",89573,2606,3327,2758,109625,3079
"Mb0448",23683,18585,19434,157726,103689,103668
"Mb0686",85392,82327,84251,104276,76955,78834
"Mb2965C",115158,126823,120423,100459,73760,74531
"Mb1164C",50044,52155,52990,79281,53921,43315
"Mb0687",99212,97822,95547,77011,48697,54170
"Mb2553C",35098,36934,30392,60504,49533,32843
"Mb1329",84327,84097,91129,63342,63979,46660
"Mb3380C",57892,61984,60534,72826,82203,50292
"Mb1101",59914,65562,65180,50399,46952,42731
"Mb2956",55268,48714,54055,48444,29407,42088
"BQ2027_RRS",15033,362,599,343,21553,372
"Mb3904",62099,52061,59777,65106,79490,50831
"Mb2971C",62467,63926,61107,42565,28657,29829
"Mb3672C",35781,49125,50199,49148,43678,38195
"Mb3627C",59294,65255,59478,40109,34297,31692
"Mb2900",10763,7030,8300,36885,45535,27815
"Mb2958",37306,34346,38330,46893,26495,37836
"Mb3830C",35720,36497,33709,37527,30323,22757
"Mb0721",20255,23022,22578,29940,23478,23327
"Mb0704",19581,17469,20059,26156,18046,21292
"Mb2074C",44112,48414,43038,33450,26258,24100
"Mb2806C",21582,24581,23527,30019,21893,20879
"Mb2585C",41602,46536,40952,22540,18248,17286
"Mb0722",19666,20424,20623,29247,23357,21439
"Mb0720",16202,17421,18184,29118,22501,24354
"Mb1656",31629,33205,34918,36521,25605,29346
"Mb3614C",43724,40571,42970,34323,35828,26768
"Mb2503C",22206,24885,24835,28851,22419,22036
"Mb2955",51198,47127,51206,26470,18437,27023
"Mb0724",18181,18450,18734,25138,19991,19843
"Mb2744C",8147,8167,7941,8912,6683,6220
"Mb1903C",51260,49064,48798,39891,44004,30057
"Mb3905",40881,38796,42628,51174,53670,38738
"Mb3452C",6286,4610,4629,29380,21826,25015
"Mb0358",15094,20203,16420,38540,21887,30724
"Mb0493",20343,23523,22249,22691,13109,20985
"Mb3834C",29415,26276,29069,19602,14105,21817
"Mb2269",30588,26863,32411,24140,23925,15610
"Mb2901",15293,10769,11029,28176,34901,21107
"Mb2219",23746,26053,25486,26389,22002,20756
"Mb2484C",35361,31256,34940,31559,33255,26533
"Mb1868C",34353,38318,36217,24331,17583,20148
"Mb1228",23388,25707,18617,39945,26810,37141
"Mb3646C",6745,6291,6561,24610,28079,18409
"Mb1340",12579,13854,14207,24518,17629,18594
"Mb3889C",17737,21819,20401,22888,18475,18742
"Mb0703",11388,10109,11207,23899,17237,21743
