"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mb2490",2779.66142468911,-5.36507700042532,0.160968866365456,-27.1175234005504,6.11913409192673e-162,2.46845869268324e-158
"Mb3768C",2304.57708597154,-4.04643860346004,0.9513441467095,-3.20224664649174,0.00136360189307919,0.0316136209004682
"Mb3767C",2405.47327191708,-3.94851447575664,0.905482496841068,-3.25629096757037,0.00112878011198286,0.0266286489575371
"Mb1316",3068.14039601535,-3.63197535830332,0.196020087007162,-13.4270696360173,4.19693005088077e-41,5.64347194175102e-38
"Mb3258C",9464.63115582392,-3.53687507936449,0.193383271887251,-13.1183791369689,2.58402610868906e-39,2.60599033061292e-36
"Mb1161",592.494654720084,-3.53669013300471,0.246157162355967,-10.3051648334181,6.67771020738635e-25,2.07214484435358e-22
"Mb2839C",39.1640390877862,-3.04630837911094,0.429867829408564,-4.76031989164289,1.93286355770821e-06,8.66352399088323e-05
"Mb1317",4895.67579656408,-2.99964544407884,0.20553359015264,-9.72904449629766,2.26712460327602e-22,5.37975332330322e-20
"Mb2835",41.9498496916004,-2.99129540029191,0.439610355961162,-4.52968264575603,5.90723489142358e-06,0.00023135714128158
"BQ2027_PROU",313.868357342839,-2.9708412481099,0.204558276932538,-9.63461991205504,5.71029313699716e-22,1.21238539550771e-19
"Mb3199",590.332063923723,-2.94211514329345,0.155684855175716,-12.4746568386594,1.02647460853474e-35,5.6056772865817e-33
"Mb1162",355.777022123675,-2.82325161135828,0.272212564043113,-6.69789661534328,2.11440761319174e-11,1.81479155566287e-09
"Mb3203",209.043125091195,-2.79355349270884,0.233281034664065,-7.68838107774875,1.49008429425194e-14,1.7174285837178e-12
"Mb2836",17.7976030379332,-2.73477276804155,0.562306335895436,-3.08510265188287,0.00203481910805414,0.0443700555777859
"Mb2131",178.077507111227,-2.73446754584454,0.38735458898624,-4.47772556505367,7.54424973242297e-06,0.000287108522835795
"Mb3684C",4093.1580400699,-2.69783259996286,0.196889442278747,-8.62327903575018,6.50636560290385e-18,1.00948764777362e-15
"Mb3202C",646.882148745368,-2.58489900825324,0.160615283423888,-9.86767245599192,5.74829419812408e-23,1.44928867470203e-20
"Mb3149C",101.80939321461,-2.50368018617991,0.428783381964392,-3.5068527592909,0.000453439976292047,0.0115863795227819
"Mb3201C",209.866119245562,-2.34116143103348,0.278369018134934,-4.81792636270814,1.45057882615452e-06,6.57487076933407e-05
"Mb0719",105.827533838344,-2.25081257684352,0.243813716083076,-5.13019774661619,2.89437959398211e-07,1.42389357099071e-05
"Mb2355",2126.8579240152,-2.21815228521713,0.144833112784419,-8.41073054219533,4.074648294313e-17,5.66797628250298e-15
"Mb3683C",534.785505793905,-2.18346480228916,0.220849650405576,-5.35868995090461,8.38275713370217e-08,4.83086318247922e-06
"Mb0718",214.481158321214,-2.17309711947768,0.192051515264101,-6.10824193636011,1.00734574559635e-09,7.38842315951939e-08
"Mb2541",257.954441199164,-2.15749495290022,0.182854483465931,-6.33014258639102,2.44934749707699e-10,1.90012842369396e-08
"Mb3259C",3197.30129099381,-2.14565926330617,0.122218248285108,-9.37388057332984,6.99136905713938e-21,1.34300870364287e-18
"Mb3553",3898.85722687727,-2.14542613675447,0.152069619206113,-7.53224833950542,4.9873986626213e-14,5.58865727917065e-12
"Mb2834",122.678682382902,-2.13200489738376,0.243036015769681,-4.65776602615363,3.19659213766797e-06,0.000135737396666869
"Mb3591",1192.778996647,-2.10429916661433,0.119530211311376,-9.23866154421525,2.49599809789165e-20,4.37776362038909e-18
"Mb3200",698.685648055902,-2.05523353148063,0.147075208055885,-7.17478863657063,7.24189813392628e-13,7.30345426806466e-11
"Mb0846C",16614.8551978878,-2.0358702766142,0.113274452024256,-9.14478294180921,5.97497310945026e-20,1.00429339681343e-17
"Mb1160C",729.722466575082,-1.99621275317847,0.17342936502199,-5.74419881576664,9.23572230402947e-09,5.56073190663506e-07
"Mb0048C",9144.37716570241,-1.97182647706602,0.104139535233264,-9.33196479981603,1.0392619678747e-20,1.90562853563934e-18
"Mb3665C",860.465547524721,-1.9289987450697,0.135480732781554,-6.85705432792124,7.02949037353765e-12,6.16455742757628e-10
"Mb3669",15155.446837086,-1.86914844086055,0.19913473732341,-4.36462493959047,1.27341052451112e-05,0.000466994368716167
"Mb0771C",853.290414157853,-1.86171046790838,0.144844380763512,-5.94921572632701,2.69430341396707e-09,1.81146999532386e-07
"Mb2910C",312.849388484437,-1.85940576445871,0.163413284974551,-5.25909362015793,1.44767176913974e-07,7.99987385850646e-06
"Mb0623",253.011427235688,-1.85251379515049,0.205223884695179,-4.15406713705247,3.26617275111149e-05,0.0010625597482245
"Mb1087",1526.43380769985,-1.8166885083812,0.192115340076743,-4.2510322603857,2.12787512356664e-05,0.000739986917971365
"Mb3458C",680.771838457197,-1.80616860540542,0.173577768071263,-4.64442315604866,3.41027948919405e-06,0.000141825437725864
"Mb1904",337.835181125669,-1.78644312708697,0.167178281485204,-4.70421827584445,2.54840491783135e-06,0.000112969949873974
"Mb1211",17931.2147729007,-1.77280576321072,0.0977825504678564,-7.90330953235631,2.71594031733896e-15,3.22238330592511e-13
"Mb1159C",526.430943755538,-1.75510652969246,0.164161549394082,-4.59977706399303,4.22943324631769e-06,0.00017409728281271
"Mb3120C",6782.67946793943,-1.74425661637591,0.221928804079086,-3.35358278284007,0.000797725472216902,0.0195031791207453
"Mb0845C",8676.96063105787,-1.71104328758068,0.12316189644903,-5.77324081620436,7.77611807620818e-09,4.75285762415512e-07
"Mb3755",2771.05474292218,-1.71080137640326,0.154974551001891,-4.58656838692556,4.50590852856436e-06,0.000183604393982107
"Mb3198C",4141.42210233411,-1.71012059253884,0.120809122687057,-5.87803782317271,4.15158073001992e-09,2.70120591369361e-07
"Mb2453C",169.844016906229,-1.70939782536659,0.223687154285281,-3.17138383575596,0.00151714532784319,0.0343829452388733
"Mb3121C",6783.37582866868,-1.70417675896347,0.226322799710212,-3.11138232588633,0.00186213674057598,0.0417325533971305
"Mb2621",10869.0636943109,-1.69178379709886,0.197278314631894,-3.50663882337843,0.000453804651611189,0.0115863795227819
"Mb3592",875.615052060926,-1.68713601277952,0.164337906743248,-4.18123868313025,2.8992532300462e-05,0.000958654715574291
"Mb3949C",5490.33935787287,-1.6585050910732,0.110539671448732,-5.95718335727648,2.56622273208143e-09,1.754600423935e-07
"Mb3858C",447.531702568559,-1.64337351715731,0.159092574210063,-4.04401978126151,5.25424832322585e-05,0.00164307269270489
"Mb3227C",1865.56107952394,-1.61767624712433,0.175304522447229,-3.52344730473378,0.000425971791886006,0.0110862594094719
"Mb1210",8229.8451546492,-1.59205444771859,0.0983699000184245,-6.01865456412682,1.75872731101686e-09,1.24468525835825e-07
"Mb3593",573.984413155329,-1.59194361410671,0.183254595064875,-3.23017064809293,0.00123716351774252,0.0290158001777518
"Mb3196C",6715.81776202157,-1.58103715763556,0.144290262965045,-4.02686325255585,5.65258844883293e-05,0.00175404167712246
