Organism_Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,species
Mycobacterium tuberculosis variant bovis,SP38,20829,SAMN03288261,PRJNA273066,Terrabacteria group,Actinobacteria,GCA_000934325.3,4.34765,65.6,chromosome:NZ_CP015773.2/CP015773.2,-,1,4216,4029,2016/05/19,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/325/GCF_000934325.3_ASM93432v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/325/GCA_000934325.3_ASM93432v3,bovis
Mycobacterium tuberculosis H37Rv,H37Rv,20829,SAMEA3138326,PRJNA224,Terrabacteria group,Actinobacteria,GCA_000195955.2,4.41153,65.6,chromosome:NC_000962.3/AL123456.3,-,1,4008,3906,2001/09/07,2017/12/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2,H37Rv
Mycobacterium tuberculosis variant africanum,UT307,20829,SAMN04479830,PRJNA311193,Terrabacteria group,Actinobacteria,GCA_001593225.1,4.4935,65.1,chromosome:NZ_CP014617.1/CP014617.1,-,1,4233,4009,2016/03/16,2017/04/05,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/225/GCF_001593225.1_ASM159322v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/225/GCA_001593225.1_ASM159322v1,africanum
Mycobacterium tuberculosis variant microti,ATCC 19422,20829,SAMN06462280,PRJNA377261,Terrabacteria group,Actinobacteria,GCA_002982215.1,4.2416599999999995,65.3,-,MWXC01,258,4349,4011,2018/03/08,2019/03/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/215/GCF_002982215.1_ASM298221v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/215/GCA_002982215.1_ASM298221v1,microti
Mycobacterium tuberculosis variant caprae,Allgaeu,20829,SAMN05257278,PRJNA326075,Terrabacteria group,Actinobacteria,GCA_001941665.1,4.32496,65.6,chromosome:NZ_CP016401.1/CP016401.1,-,1,4197,3972,2017/01/10,2017/04/16,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/665/GCF_001941665.1_ASM194166v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/665/GCA_001941665.1_ASM194166v1,caprae
Mycobacterium tuberculosis variant pinnipedii,ATCC BAA-688,20829,SAMN06462281,PRJNA377261,Terrabacteria group,Actinobacteria,GCA_002982275.1,4.32545,65.6,-,MWXB01,162,4248,3970,2018/03/08,2019/03/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/275/GCF_002982275.1_ASM298227v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/275/GCA_002982275.1_ASM298227v1,pinnipedii
Mycobacterium tuberculosis variant pinnipedii,MP2,20829,SAMN08767991,PRJNA442753,Terrabacteria group,Actinobacteria,GCA_003027795.2,4.284269999999999,65.4,-,PYQI02,102,4282,4025,2018/03/31,2019/03/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/027/795/GCF_003027795.2_ASM302779v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/027/795/GCA_003027795.2_ASM302779v2,pinnipedii
Mycobacterium tuberculosis variant caprae,MB2,20829,SAMEA2794673,PRJEB7271,Terrabacteria group,Actinobacteria,GCA_001369315.1,4.288869999999999,65.5,-,CDHG01,59,4275,3989,2015/03/20,2019/03/13,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/369/315/GCF_001369315.1_Genome_assembly_of_M_bovis_MB2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/369/315/GCA_001369315.1_Genome_assembly_of_M_bovis_MB2,caprae
Mycobacterium tuberculosis variant microti,12,20829,SAMN03257090,PRJNA270004,Terrabacteria group,Actinobacteria,GCA_001544815.1,4.37012,65.6,chromosome:CP010333.1,-,1,4369,4321,2016/02/02,2016/02/03,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/815/GCA_001544815.1_ASM154481v1,microti
Mycobacterium tuberculosis variant africanum,MAL010084,20829,SAMN02673325,PRJNA240158,Terrabacteria group,Actinobacteria,GCA_000666065.1,4.3943,65.6,-,JKXR01,4,4270,4067,2014/04/29,2018/09/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/666/065/GCF_000666065.1_Myco_afri_MAL010084_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/666/065/GCA_000666065.1_Myco_afri_MAL010084_V1,africanum
